,money,recent,frequency,cluster
964,4391.0,168,2,0
965,13674.5,1,6,0
966,4243.0,82,5,0
967,6084.0,140,3,0
968,490.0,33,1,2
969,839.0,150,1,1
970,1330.0,134,1,1
971,1341.5,26,2,2
972,1032.0,7,2,2
973,1568.5,138,1,1
974,817.0,116,2,1
975,754.0,93,1,1
976,4109.0,67,3,0
977,743.0,135,1,1
978,1901.5,123,2,1
979,672.0,30,1,2
980,1216.0,129,1,1
981,2064.5,82,1,1
982,3494.0,23,2,0
983,1515.0,47,1,1
984,1190.0,132,1,1
985,872.0,139,1,1
986,1752.0,99,1,1
987,419.0,141,1,1
988,371.5,176,1,1
989,1104.0,187,1,1
990,1230.0,19,2,2
991,670.0,39,1,2
992,1222.5,126,2,1
993,2013.0,128,1,1
994,481.0,145,1,1
995,2091.0,128,1,1
996,1815.0,42,1,1
997,17491.0,126,5,0
998,3313.0,99,5,0
999,818.0,16,1,2
1000,3834.0,8,3,0
1001,574.0,109,1,1
1002,2576.5,90,3,0
1003,1965.0,44,2,0
1004,3953.0,32,4,0
1005,3504.5,4,3,0
1006,1314.5,181,1,1
1007,1065.5,5,1,2
1008,1503.5,159,1,1
1009,571.0,130,1,1
1010,433.0,145,1,1
1011,424.0,184,1,1
1012,3658.0,58,3,0
1013,2675.0,192,1,1
1014,4540.0,188,1,1
1015,1786.0,132,1,1
1016,3313.0,154,2,0
1017,840.5,183,1,1
1018,1307.5,57,3,0
1019,737.5,138,1,1
1020,723.0,192,1,1
1021,4035.5,145,3,0
1022,1753.0,64,1,1
1023,2761.5,21,4,0
1024,4070.5,8,6,0
1025,552.0,68,1,1
1026,7173.5,15,3,0
1027,1949.0,71,1,1
1028,1331.0,180,1,1
1029,3569.0,20,2,0
1030,3409.0,168,1,1
1031,1057.0,171,1,1
1032,3019.5,142,2,1
1033,1002.5,105,1,1
1034,3106.0,153,1,1
1035,404.0,33,1,2
1036,2627.5,48,1,1
1037,2620.0,142,1,1
1038,2425.0,132,1,1
1039,2222.0,166,1,1
1040,13091.2,2,8,0
1041,6579.0,3,4,0
1042,14131.5,1,3,0
1043,4463.5,159,1,1
1044,4675.5,95,3,0
1045,2431.5,55,2,0
1046,1028.0,191,1,1
