会员编号,money,recent,frequency
1036500977,4109.0,67,3
1036501635,743.0,135,1
1036501803,1901.5,123,2
1036502450,672.0,30,1
1036503314,2064.5,82,1
1036505417,3494.0,23,2
1036506152,1515.0,47,1
1036506465,1190.0,132,1
1036507165,1752.0,99,1
1036507752,419.0,141,1
1036507992,371.5,176,1
1036508369,1104.0,187,1
1036508630,1230.0,19,2
1036509646,670.0,39,1
1036509686,1222.5,126,2
1036510948,2013.0,128,1
1036512972,481.0,145,1
1036515239,1815.0,42,1
1036526581,17491.0,126,5
1036526974,3313.0,99,5
1036536041,818.0,16,1
1036537424,3834.0,8,3
1036540703,574.0,109,1
1036549570,2576.5,90,3
1036550851,1965.0,44,2
1036551715,3953.0,32,4
1036551987,3504.5,4,3
1036557455,1065.5,5,1
1036558091,571.0,130,1
1036561598,433.0,145,1
1036563917,424.0,184,1
1036568637,2675.0,192,1
1036568938,4540.0,188,1
1036570992,1786.0,132,1
1036573224,840.5,183,1
1036575155,1307.5,57,3
1036575622,737.5,138,1
1036584927,723.0,192,1
1036588741,4035.5,145,3
1036755192,1753.0,64,1
1036784305,2761.5,21,4
1036784515,4070.5,8,6
1036789761,552.0,68,1
1036799223,7173.5,15,3
1036799224,1949.0,71,1
1036799225,1331.0,180,1
1036799226,3569.0,20,2
1036799227,3409.0,168,1
1036799228,1057.0,171,1
1036799231,3019.5,142,2
1036799233,1002.5,105,1
1036799234,3106.0,153,1
1036799235,404.0,33,1
1036799236,2627.5,48,1
1036799237,2620.0,142,1
1036799238,2425.0,132,1
1036799239,2222.0,166,1
1036799240,13091.2,2,8
1036799241,6579.0,3,4
1036799243,14131.5,1,3
1036799244,4463.5,159,1
1036799245,4675.5,95,3
1036799246,2431.5,55,2
1036799247,1028.0,191,1
1036799248,21015.5,81,5
1036799249,1498.0,173,1
1036799250,18054.0,21,14
1036799252,2659.0,150,2
1036799258,2177.0,145,1
1036799260,2190.0,154,1
1036799261,41940.0,26,9
1036799269,13144.5,54,7
1036799271,10349.5,55,5
1036799274,2221.5,121,2
1036799276,978.0,192,1
1036799280,2829.0,148,2
1036799281,5925.0,73,5
1036799282,3396.0,12,2
1036799283,8125.5,19,7
1036799284,3334.0,104,1
1036799285,4332.5,121,5
1036799289,6641.0,7,4
1036799290,1988.0,181,1
1036799291,2422.5,99,2
1036799294,1838.0,118,1
1036799298,7817.0,77,2
1036799301,7565.5,61,3
1036799305,10365.0,38,3
1036799307,1384.0,156,1
1036799308,15974.0,51,11
1036799309,2214.0,151,1
1036799310,11555.0,61,5
1036799312,7747.5,55,3
1036799313,4269.0,156,1
1036799314,9662.0,6,7
1036799317,2417.0,188,1
1036799318,20952.5,3,12
1036799320,4152.0,17,2
1036799324,2262.0,104,5
1036799326,4126.26,64,4
1036799328,6471.5,71,4
1036799329,2061.0,108,2
1036799333,3383.0,98,2
1036799334,12883.5,77,12
1036799338,435.0,98,1
1036799339,980.0,124,1
1036799344,2731.0,81,3
1036799349,10576.5,45,3
1036799350,4869.0,96,2
1036799354,6536.5,190,1
1036799355,2410.0,192,1
1036799356,5503.0,59,4
1036799365,1920.5,40,2
1036799373,1264.5,113,1
1036799375,2175.0,79,2
1036799380,3790.5,66,5
1036799382,2410.0,73,1
1036799383,2379.0,11,3
1036799389,2751.0,71,1
1036799392,5023.0,14,3
1036799401,1621.0,115,1
1036799412,1673.0,181,1
1036799418,1011.0,181,1
1036799425,4065.5,14,3
1036799428,14708.0,112,4
1036799449,8110.68,13,5
1036799457,1688.5,170,1
1036799473,5805.0,22,5
1036799474,1797.0,28,1
1036799478,1807.0,62,1
1036799495,5904.5,38,4
1036799501,15416.0,85,4
1036799507,1600.0,27,1
1036799516,11349.5,3,6
1036799544,5536.0,7,1
1036799558,15542.0,35,5
1036799609,2973.0,178,1
1036799626,2741.0,49,1
1036799640,1321.0,166,1
1036799659,500.5,73,1
1036799696,3872.5,127,1
1036799727,7338.5,53,4
1036799745,661.0,15,1
1036799761,4916.0,72,2
1036799809,2037.0,37,2
1036799827,1428.0,152,1
1036799839,3832.5,91,1
1036799843,612.5,189,1
1036799873,5391.5,1,2
1036805969,5842.5,12,3
1036806066,644.0,105,1
1036812427,1961.0,104,2
1036814045,936.5,45,1
1036816294,1622.0,95,1
1036821036,677.0,93,1
1036822276,962.0,15,1
1036822292,1129.0,153,1
1036822512,2450.5,118,2
1036822521,814.0,140,1
1036822920,1169.5,83,2
1036824625,3062.0,109,2
1036827328,3953.5,75,4
1036828163,1690.0,66,2
1036828500,781.0,185,1
1036829027,2173.0,41,1
1036829800,1088.0,182,1
1036830444,2137.0,5,1
1036832098,581.5,129,1
1036832262,737.0,50,1
1036832381,1175.0,187,1
1036832672,912.0,89,1
1036832702,2495.5,21,2
1036833589,1032.0,83,1
1036833872,1340.0,164,1
1036834183,916.0,179,1
1036834758,866.0,136,1
1036843017,3143.5,17,3
1036855039,699.0,58,1
1036856437,2750.0,1,1
1036856699,861.0,6,1
1036857421,574.0,117,1
1036857428,583.0,78,1
1036857669,465.0,127,1
1036857896,1046.0,183,1
1036858279,3650.5,156,1
1036858389,1778.0,147,1
1036858490,822.5,55,1
1036860131,2004.0,88,1
1036860538,942.0,181,1
1036875807,1369.0,159,1
1036878593,663.0,116,1
1036879044,1476.0,67,1
1036881460,5371.0,2,5
1036881884,580.0,115,1
1036882201,776.5,33,1
1036882267,1040.0,76,1
1036882566,1143.0,177,1
1036883259,1059.5,29,2
1036885474,803.5,23,1
1036886204,1042.5,21,2
1036886376,1166.5,182,1
1036887208,859.0,186,1
1036890072,531.0,13,1
1036895159,1954.0,113,2
1036895760,1764.0,91,1
1036895769,10614.5,14,5
1036895973,4963.5,5,3
1036898872,663.0,192,1
1036899910,569.0,144,1
1036902181,1416.5,93,1
1036905175,399.5,172,1
1036926449,701.0,148,1
1036926961,5505.5,24,2
1036930611,1748.0,144,1
1036983942,987.0,14,1
1036984730,1024.0,140,1
1036989102,3483.5,141,3
1036989329,1134.0,150,1
1036989362,388.5,70,1
1036989947,705.0,81,1
1036990184,354.5,47,1
1036990224,1693.0,118,1
1036990680,1614.0,126,2
1036993110,2121.0,185,1
1036995156,2317.5,128,2
1036998897,3085.5,58,1
1037001063,664.0,134,1
1037002905,1779.5,165,1
1037003209,1120.0,154,1
1037003759,2032.0,99,1
1037004088,2096.0,86,2
1037004263,1016.0,145,1
1037005993,1118.0,132,1
1037006132,2128.0,88,1
1037006934,1692.0,79,1
1037009461,1677.0,85,1
1037011191,4247.5,61,3
1037014053,1551.0,52,1
1037046040,8582.0,24,2
1037051888,4360.5,104,3
1037053751,1256.0,143,1
1037054830,2218.0,73,1
1037056980,550.0,183,1
1037057279,3575.5,16,4
1037057763,565.5,5,1
1037059177,720.0,144,1
1037059238,755.5,70,1
1037059647,698.0,190,1
1037063982,1077.5,71,1
1037064997,1307.0,9,2
1037088570,2057.5,61,1
1037139410,1943.5,72,2
1037144254,850.5,115,1
