money,recent,frequency
912.0,89,1
2495.5,21,2
1032.0,83,1
1340.0,164,1
916.0,179,1
866.0,136,1
3143.5,17,3
699.0,58,1
2750.0,1,1
861.0,6,1
574.0,117,1
583.0,78,1
465.0,127,1
515.5,1,1
1046.0,183,1
3650.5,156,1
1778.0,147,1
822.5,55,1
2004.0,88,1
942.0,181,1
1369.0,159,1
663.0,116,1
1476.0,67,1
5371.0,2,5
580.0,115,1
776.5,33,1
1040.0,76,1
1143.0,177,1
1059.5,29,2
803.5,23,1
1042.5,21,2
1166.5,182,1
859.0,186,1
3393.5,55,2
2642.0,79,1
531.0,13,1
1306.5,147,1
1954.0,113,2
1764.0,91,1
10614.5,14,5
4963.5,5,3
663.0,192,1
569.0,144,1
1416.5,93,1
399.5,172,1
3420.0,71,4
701.0,148,1
5505.5,24,2
2882.5,18,6
7630.0,76,3
1748.0,144,1
987.0,14,1
1024.0,140,1
3483.5,141,3
1134.0,150,1
388.5,70,1
705.0,81,1
354.5,47,1
1693.0,118,1
1614.0,126,2
2121.0,185,1
4041.0,35,2
2317.5,128,2
5769.0,128,3
3085.5,58,1
604.0,72,1
664.0,134,1
1779.5,165,1
1120.0,154,1
4443.0,104,2
2032.0,99,1
2096.0,86,2
1016.0,145,1
1118.0,132,1
2128.0,88,1
1692.0,79,1
1677.0,85,1
5257.5,61,4
4247.5,61,3
1551.0,52,1
8582.0,24,2
4360.5,104,3
1256.0,143,1
2218.0,73,1
550.0,183,1
3575.5,16,4
565.5,5,1
720.0,144,1
755.5,70,1
698.0,190,1
1077.5,71,1
1307.0,9,2
2057.5,61,1
1943.5,72,2
850.5,115,1
2329.0,67,2
2255.0,9,1
1041.0,113,1
1027.0,56,1
1265.0,132,1
2332.0,147,1
573.0,76,1
2224.0,140,1
4601.0,2,4
1552.0,129,1
3525.0,155,1
749.0,147,1
4380.0,57,5
1726.5,82,2
793.0,62,1
2534.5,104,1
1322.0,181,1
21413.0,6,11
547.0,93,1
3404.5,91,1
562.0,170,1
1642.0,48,1
1150.5,63,2
855.5,130,1
826.5,98,1
6.0,15,1
1060.5,20,1
3679.0,12,3
750.5,78,1
2340.0,96,2
2178.0,44,3
3074.0,177,1
7888.0,10,5
1159.0,56,1
1652.0,115,1
577.0,77,1
1089.0,184,1
1001.0,41,1
2086.0,71,1
1527.5,168,1
2223.5,72,2
450.5,1,1
495.5,111,1
1087.0,176,1
1516.0,63,2
685.0,186,1
2756.0,150,2
2059.5,19,4
1383.5,2,1
3056.0,117,2
1346.0,13,2
13676.5,130,10
831.0,83,1
2092.0,91,1
3584.0,171,2
665.0,166,1
980.5,82,1
489.5,9,1
3220.0,42,3
2506.0,94,3
4945.0,86,2
1945.5,110,1
1309.5,76,2
1722.0,84,1
516.5,162,1
1325.0,171,1
496.0,42,1
749.5,131,1
811.0,74,1
1009.0,147,1
3121.5,44,3
3635.5,160,2
850.0,13,1
2618.0,160,1
675.0,10,1
562.0,28,1
548.0,134,1
5982.0,16,6
1451.0,185,1
2410.0,149,1
2334.5,139,2
1753.0,63,1
1022.0,39,2
2463.0,10,2
609.0,132,1
3442.0,43,2
1178.0,132,1
877.0,163,1
1159.0,105,1
1159.5,94,2
1709.0,110,1
830.0,173,1
1083.0,131,1
712.0,122,2
5885.0,145,2
938.5,138,2
421.5,85,1
2871.0,14,1
1853.0,72,2
1218.0,147,1
840.5,183,1
897.5,187,1
1446.0,161,1
908.0,35,1
4337.5,16,8
875.0,84,1
1628.5,27,1
30.0,159,1
680.0,52,1
1172.0,60,1
5010.0,12,9
1735.0,131,1
21721.0,24,15
3103.5,6,3
2602.0,7,3
1147.0,168,1
3380.0,7,2
2242.5,144,1
576.0,106,1
3624.0,8,2
1327.0,160,1
6616.0,41,3
444.5,48,1
1126.5,160,1
406.0,108,1
713.5,32,1
1531.5,47,2
5862.5,35,4
4.0,50,1
2298.0,55,1
960.0,76,1
1922.5,52,2
1905.5,98,1
1061.0,174,1
1821.0,58,1
3752.0,131,1
1892.0,167,1
15345.0,10,15
1498.0,148,1
3768.0,154,1
2341.5,73,2
2611.0,86,2
627.0,89,1
873.0,12,1
3658.0,83,3
637.5,31,1
740.0,191,1
1765.0,63,1
679.5,179,1
393.5,142,1
816.0,188,1
2103.5,10,2
757.0,34,1
3928.5,60,3
2081.0,154,1
862.0,81,1
2233.0,143,1
2571.0,116,2
1524.0,92,1
1893.0,151,1
936.5,167,1
584.0,171,1
3939.5,25,1
834.0,146,1
704.0,137,1
3354.0,151,1
9099.0,9,4
585.0,12,1
1282.0,64,2
5154.0,73,2
2683.5,154,1
1564.0,167,1
