会员编号,money,recent,frequency,sex,age
1036451349,2509.5,10,23,1,38
1036452545,3005.0,1,56,2,46
1036456379,1317.0,37,22,2,25
1036457547,231.0,37,15,1,48
1036458671,833.0,37,23,2,25
1036458789,157.5,37,11,2,28
1036459249,349.5,37,20,1,38
1036459572,263.5,37,20,1,20
1036459944,1763.0,37,23,2,37
1036461414,306.0,37,18,2,36
1036462075,146.0,37,10,2,24
1036462101,1274.0,37,26,1,31
1036462584,179.0,37,10,2,30
1036463519,537.0,37,26,1,52
1036463836,373.5,37,19,1,45
1036464289,509.0,37,28,2,42
1036465039,295.0,37,20,2,31
1036466621,163.5,37,13,2,29
1036471521,187.0,37,9,2,20
1036477656,344.0,37,14,1,23
1036479031,301.0,37,19,2,32
1036483173,229.0,37,15,2,31
1036483278,416.0,37,21,1,11
1036484213,1568.0,37,22,1,30
1036485547,224.0,37,16,1,24
1036485933,396.5,37,30,1,37
1036486143,212.5,37,14,1,37
